"court_id","court_name","circuit","state","cmecf_go_live_date","cmecf_go_live_date_precision","mandatory_efiling_date","pilot_program_date","source_url","source_type","source_text","extraction_timestamp","confidence_score","notes"
"akd","District of Alaska","9","AK","","unknown","","","","not_found","","2025-11-28T22:07:50.329996","0",""
"almd","Middle District of Alabama","11","AL","","unknown","","","","not_found","","2025-11-28T22:12:24.158410","0",""
"alnd","Northern District of Alabama","11","AL","","unknown","","","","not_found","","2025-11-28T22:12:37.132867","0",""
"alsd","Southern District of Alabama","11","AL","","unknown","","","","not_found","","2025-11-28T22:12:50.101265","0",""
"ared","Eastern District of Arkansas","8","AR","","unknown","","","","not_found","","2025-11-28T22:05:50.556138","0",""
"arwd","Western District of Arkansas","8","AR","","unknown","","","","not_found","","2025-11-28T22:06:03.526821","0",""
"azd","District of Arizona","9","AZ","","unknown","","","","not_found","","2025-11-28T22:08:03.344674","0",""
"cacd","Central District of California","9","CA","","unknown","","","","not_found","","2025-11-28T22:08:16.309306","0",""
"caed","Eastern District of California","9","CA","","unknown","","","","not_found","","2025-11-28T22:08:29.312161","0",""
"cand","Northern District of California","9","CA","","unknown","","2001-04-02","https://en.wikipedia.org/wiki/CM/ECF","known_reference","Pilot April 2, 2001; Full January 1, 2003","2025-11-28T22:08:42.280751","5",""
"casd","Southern District of California","9","CA","","unknown","","2002-01-01","https://www.justice.gov/archive/ust/articles/docs/abi_042002a.pdf","known_reference","Bankruptcy CM/ECF pilot district","2025-11-28T22:08:50.233445","5",""
"cod","District of Colorado","10","CO","2005-06-20","exact","","","http://www.cod.uscourts.gov/Portals/0/Documents/CMECF/CM-Archived/cm_slides_intro.pdf","known_reference","Electronic filing live; no paper files after this date","2025-11-28T22:10:50.178978","5",""
"ctd","District of Connecticut","2","CT","2003-10-01","month","","","https://www.ctd.uscourts.gov/cmecf-notices-instructions-0","known_reference","Converted existing case data to CM/ECF October 2003","2025-11-28T21:56:48.578850","5",""
"dcd","District of Columbia","DC","DC","","unknown","","","","not_found","","2025-11-28T22:14:11.114442","0",""
"ded","District of Delaware","3","DE","","unknown","","2002-01-01","https://www.justice.gov/archive/ust/articles/docs/abi_042002a.pdf","known_reference","Bankruptcy CM/ECF pilot district","2025-11-28T21:57:46.348309","5",""
"flmd","Middle District of Florida","11","FL","","unknown","","","","not_found","","2025-11-28T22:13:03.101253","0",""
"flnd","Northern District of Florida","11","FL","","unknown","","","","not_found","","2025-11-28T22:13:16.133124","0",""
